,loss,accuracy
0,0.061481885612010956,0.9818000197410583
1,0.06922444701194763,0.98089998960495
2,0.06242948770523071,0.982699990272522
3,0.12361571937799454,0.9812999963760376
4,0.12932395935058594,0.9803000092506409
5,0.12340260297060013,0.9814000129699707
6,0.11087187379598618,0.9819999933242798
7,0.10660838335752487,0.9830999970436096
8,0.1315249800682068,0.9746000170707703
9,0.11783143132925034,0.9801999926567078
10,0.1104801744222641,0.9822999835014343
11,0.1113152801990509,0.982200026512146
12,0.12049119919538498,0.9804999828338623
13,0.11864542216062546,0.980400025844574
14,0.11963289976119995,0.9811000227928162
