,loss,accuracy
0,0.0677601620554924,0.9822999835014343
1,0.0690857395529747,0.9821000099182129
2,0.06704596430063248,0.9818999767303467
3,0.0734657496213913,0.9811000227928162
4,0.06824786961078644,0.9825000166893005
5,0.06925181299448013,0.9822999835014343
6,0.09068135172128677,0.9815000295639038
7,0.09061364829540253,0.9817000031471252
8,0.09485569596290588,0.9817000031471252
9,0.12353949248790741,0.9829000234603882
10,0.1266596019268036,0.9818999767303467
11,0.1283694952726364,0.9821000099182129
12,0.12272976338863373,0.9807000160217285
13,0.12356147170066833,0.9800999760627747
14,0.11814230680465698,0.9807000160217285
